"","symbol","open","high","low","close","volume","adjusted","median","upper","lower","whole","body","small","large","up","down","gap_up","gap_down"
"2012-01-03","MSFT",26.549999,26.959999,26.389999,26.77,64731500,21.466696,26.6599995,0.189999,0.16,0.57,0.220001,0,0,1,0,NA,NA
"2012-01-04","MSFT",26.82,27.469999,26.780001,27.4,80516100,21.971893,27.11,0.0699990000000028,0.0399990000000017,0.689998000000003,0.579999999999998,0,0,1,0,1,0
"2012-01-05","MSFT",27.379999,27.73,27.290001,27.68,56081400,22.196421,27.5299995,0.0500000000000007,0.0899980000000014,0.439999,0.300000999999998,0,0,1,0,0,0
"2012-01-06","MSFT",27.530001,28.190001,27.530001,28.110001,99455500,22.541239,27.820001,0.0799999999999983,0,0.66,0.580000000000002,0,0,1,0,0,0
"2012-01-09","MSFT",28.049999,28.1,27.719999,27.74,59706800,22.244537,27.8949995,0.0500010000000017,0.020000999999997,0.380001,0.309999000000001,0,0,0,1,0,0
"2012-01-10","MSFT",27.93,28.15,27.75,27.84,60014400,22.324726,27.885,0.219999999999999,0.0899999999999999,0.399999999999999,0.0899999999999999,0,0,0,1,0,0
"2012-01-11","MSFT",27.43,27.98,27.370001,27.719999,65582400,22.228493,27.5749995,0.260000999999999,0.0599990000000012,0.609999000000002,0.289999000000002,0,0,1,0,0,1
"2012-01-12","MSFT",27.870001,28.02,27.65,28,49370800,22.453024,27.9350005,0.0199999999999996,0.220001,0.370000000000001,0.129999000000002,0,0,1,0,1,0
"2012-01-13","MSFT",27.93,28.25,27.790001,28.25,60196100,22.653494,28.09,0,0.139999,0.459999,0.32,0,0,1,0,0,0
"2012-01-17","MSFT",28.4,28.65,28.17,28.26,72395300,22.661524,28.33,0.25,0.0899999999999999,0.479999999999997,0.139999999999997,0,0,0,1,1,0
"2012-01-18","MSFT",28.309999,28.4,27.969999,28.23,64860600,22.637468,28.2699995,0.0900009999999973,0.260000999999999,0.430000999999997,0.0799990000000008,0,0,0,1,0,0
"2012-01-19","MSFT",28.16,28.440001,28.030001,28.120001,74053500,22.549259,28.1400005,0.280000999999999,0.0899999999999999,0.41,0.0399990000000017,1,0,0,1,0,1
"2012-01-20","MSFT",28.82,29.74,28.75,29.709999,165902900,23.824263,29.2649995,0.0300009999999986,0.0700000000000003,0.989999999999998,0.889999,0,0,1,0,1,0
"2012-01-23","MSFT",29.549999,29.950001,29.35,29.73,76078100,23.8403,29.6399995,0.220001,0.199998999999998,0.600000999999999,0.180001000000001,0,0,1,0,0,0
"2012-01-24","MSFT",29.469999,29.57,29.18,29.34,51703300,23.527563,29.4049995,0.100000999999999,0.16,0.390000000000001,0.129999000000002,0,0,0,1,0,1
"2012-01-25","MSFT",29.07,29.65,29.07,29.559999,59231700,23.703987,29.3149995,0.0900009999999973,0,0.579999999999998,0.489999000000001,0,0,1,0,0,0
"2012-01-26","MSFT",29.610001,29.700001,29.4,29.5,49102800,23.655865,29.5550005,0.0899999999999999,0.100000000000001,0.300001000000002,0.110001,0,0,0,1,0,0
"2012-01-27","MSFT",29.450001,29.530001,29.17,29.23,44187700,23.43936,29.3400005,0.0799999999999983,0.0599999999999987,0.360000999999997,0.220001,0,0,0,1,0,1
"2012-01-30","MSFT",28.969999,29.620001,28.83,29.610001,51114800,23.744078,29.29,0.00999999999999801,0.139999000000003,0.790001,0.640001999999999,0,0,1,0,0,0
"2012-01-31","MSFT",29.66,29.700001,29.23,29.530001,50572400,23.679926,29.5950005,0.0400010000000002,0.300000999999998,0.470001,0.129999000000002,0,0,0,1,0,0
"2012-02-01","MSFT",29.790001,30.049999,29.76,29.889999,67409900,23.968601,29.84,0.16,0.0300009999999986,0.289998999999998,0.0999979999999994,0,0,1,0,1,0
